kepoi_name,kepler_name,kepid,ra,dec,koi_period,koi_prad,koi_teq,koi_steff,koi_srad,koi_kepmag,koi_disposition
"K07791.01",,6790592,295.439730,42.209061,106.18732,231.85,2660.0,3287.00,152.9690,10.028,"CANDIDATE"
"K00416.03",,6508221,286.865480,41.989079,9.74765878,0.78,679.0,5176.00,0.7380,14.290,"CANDIDATE"
"K07798.01",,6952971,293.172120,42.483238,309.89103,2.15,314.0,6450.00,1.1550,14.706,"CANDIDATE"
"K03880.01",,4147444,288.867370,39.264961,1.803697292,1,1783.0,6438.00,1.1660,10.762,"CANDIDATE"
"K03810.01",,5769943,283.750400,41.086010,1.013774136,18.59,827.0,3644.00,0.3890,16.758,"CANDIDATE"
"K03811.01",,4638237,286.153110,39.714901,290.1401717,11.58,304.0,5631.00,1.2630,13.906,"CANDIDATE"
"K02004.03",,12154526,288.646270,50.788979,1.72110057,0.7,1607.0,5700.00,1.1760,13.351,"CANDIDATE"
"K03815.01",,6507433,286.508760,41.922741,4.7425521,7.27,1159.0,6161.00,1.0530,15.432,"CANDIDATE"
"K03891.01",,8765560,296.156010,44.920090,47.1096306,78.98,751.0,5258.00,2.7800,13.731,"CANDIDATE"
"K03741.02",,8780959,300.332370,44.986141,18.577903,1.36,879.0,6432.00,1.3450,13.306,"CANDIDATE"
"K01666.01",,5008501,291.019710,40.177589,0.968026356,1.78,2167.0,6469.00,1.1930,14.479,"CANDIDATE"
"K01670.01",,5184709,291.120060,40.333988,10.57910009,2.03,929.0,6323.00,1.0930,14.572,"CANDIDATE"
"K07849.01",,7778664,299.146640,43.459831,5.0263815,0.84,1065.0,5783.00,0.9620,14.877,"CANDIDATE"
"K02158.02",,5211199,297.651430,40.352551,6.68231249,2.09,1350.0,5343.00,2.5060,13.052,"CANDIDATE"
"K07850.01",,7834712,295.797880,43.570389,66.119119,3,452.0,5828.00,1.0280,15.978,"CANDIDATE"
"K01745.01",,9574614,284.967100,46.276260,0.982090079,29.95,1568.0,5472.00,0.7420,15.933,"CANDIDATE"
"K02480.01",,8189801,298.926390,44.002190,0.66682654,1.49,1183.0,3993.00,0.5540,15.745,"CANDIDATE"
"K01957.01",,10028352,297.792240,46.935829,1.38680229,29.33,2530.0,6823.00,2.0370,12.655,"CANDIDATE"
"K01963.01",,10917681,290.607450,48.357182,12.89623554,2.55,783.0,6072.00,0.9230,14.107,"CANDIDATE"
"K07818.01",,7134626,296.401490,42.651058,2.52443998,1.53,2145.0,6461.00,2.2250,13.063,"CANDIDATE"
"K02796.01",,11246161,292.874180,48.936569,0.5374094,0.96,2208.0,5749.00,0.9880,14.832,"CANDIDATE"
"K03991.01",,10352333,296.503540,47.486919,1.570592397,1.37,1480.0,5519.00,0.9210,13.140,"CANDIDATE"
"K01947.01",,12253474,288.634830,50.912231,6.422943288,1.66,1034.0,6102.00,1.0160,12.335,"CANDIDATE"
"K02141.01",,3764879,295.771940,38.820042,1.306984786,18.33,1754.0,6102.00,1.0260,14.024,"CANDIDATE"
"K07842.01",,7601665,289.886660,43.233879,3.11141514,0.7,1530.0,6450.00,1.2730,13.396,"CANDIDATE"
"K02874.01",,9149789,289.858890,45.503841,0.352515897,1,2194.0,5465.00,0.7660,14.867,"CANDIDATE"
"K02879.01",,7051984,296.701900,42.508652,0.339069751,2.09,3653.0,5653.00,2.1830,12.771,"CANDIDATE"
"K07843.01",,7613620,293.671140,43.217609,0.619023176,0.79,1885.0,5395.00,0.8910,15.775,"CANDIDATE"
